CGATS.17
FORMAT_VERSION	2
Reference_sRGB_IEC_61966-2.1_Synthetic_XYZ_surface10
ICDM Workgroup 5 Color Volume & Accuracy 
by Karl Lang, Lumita, Inc.
CREATED Thursday, March 05, 2020
BEGIN_DATA_FORMAT
SampleID RGB_R RGB_G RGB_B LAB_L LAB_A LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS 602
BEGIN_DATA
126 25 0 102 9.17013 35.9494 -53.9059
127 25 0 127 12.6247 41.5337 -64.3688
128 25 0 153 16.2405 47.244 -74.6061
129 25 0 178 19.6988 52.6257 -84.0046
130 25 0 204 23.2575 58.1108 -93.4265
131 25 0 229 26.6358 63.2837 -102.215
132 25 0 255 30.1016 68.5664 -111.121
133 51 0 0 6.65308 25.5885 10.6009
134 51 0 25 7.18531 27.1309 -1.58371
135 51 0 51 8.45678 30.0371 -19.4269
136 51 0 76 10.3684 33.8826 -34.1632
137 51 0 102 12.8717 38.6112 -47.635
138 51 0 127 15.6068 43.5074 -59.3085
139 51 0 153 18.6587 48.7475 -70.4988
140 51 0 178 21.7077 53.8219 -80.5907
141 51 0 204 24.9407 59.0808 -90.565
142 51 0 229 28.0757 64.0947 -99.7663
143 51 0 255 31.3416 69.2524 -109.013
144 76 0 0 13.2784 33.6623 20.9944
145 76 0 25 13.6318 34.457 8.53447
146 76 0 51 14.4488 36.2542 -9.55688
147 76 0 76 15.7267 38.9658 -25.2018
148 76 0 102 17.5217 42.6075 -39.8031
149 76 0 127 19.6154 46.6618 -52.5331
150 76 0 153 22.0836 51.2383 -64.6978
151 76 0 178 24.6593 55.8389 -75.5848
152 76 0 204 27.4844 60.731 -86.2472
153 76 0 229 30.2958 65.4787 -95.9955
154 76 0 255 33.2837 70.4238 -105.712
155 102 0 0 19.8673 41.2378 30.7619
156 102 0 25 20.104 41.7719 18.2381
157 102 0 51 20.6611 43.0128 0.453674
158 102 0 76 21.558 44.9675 -15.5727
159 102 0 102 22.8665 47.7348 -30.8732
160 102 0 127 24.4573 50.9832 -44.3946
161 102 0 153 26.4099 54.8271 -57.3988
162 102 0 178 28.5235 58.8433 -69.0507
163 102 0 204 30.9161 63.2447 -80.4353
