CGATS.17
FORMAT_VERSION	2
Reference_sRGB_IEC_61966-2.1_Synthetic_XYZ_surface10
ICDM Workgroup 5 Color Volume & Accuracy 
by Karl Lang, Lumita, Inc.
CREATED Thursday, March 05, 2020
BEGIN_DATA_FORMAT
SampleID RGB_R RGB_G RGB_B LAB_L LAB_A LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS 602
BEGIN_DATA
127 25 0 127 9.98423 78.9809 -68.9823
128 25 0 153 13.2076 90.8542 -79.9046
129 25 0 178 16.3004 101.876 -89.9412
130 25 0 204 19.4896 113 -100.008
131 25 0 229 22.5213 123.42 -109.401
132 25 0 255 25.6348 134.011 -118.923
133 51 0 0 5.57102 29.8376 8.69966
134 51 0 25 5.96113 34.34 -3.75001
135 51 0 51 6.89951 43.1457 -22.1596
136 51 0 76 8.46229 53.8189 -37.5007
137 51 0 102 10.6091 65.7265 -51.5932
138 51 0 127 12.9821 77.3384 -63.8981
139 51 0 153 15.654 89.2225 -75.7513
140 51 0 178 18.3412 100.361 -86.4741
141 51 0 204 21.2049 111.634 -97.0928
142 51 0 229 23.992 122.196 -106.901
143 51 0 255 26.9033 132.92 -116.766
144 76 0 0 11.5963 40.3744 18.0166
145 76 0 25 11.8883 42.8886 5.43577
146 76 0 51 12.5666 48.3888 -12.8678
147 76 0 76 13.6356 56.2771 -28.8691
148 76 0 102 15.1515 66.2645 -43.9541
149 76 0 127 16.9375 76.7686 -57.2197
150 76 0 153 19.0627 88.0502 -69.9821
151 76 0 178 21.2985 98.9328 -81.4618
152 76 0 204 23.7672 110.127 -92.7457
153 76 0 229 26.2373 120.708 -103.089
154 76 0 255 28.874 131.499 -113.419
155 102 0 0 17.8067 49.4604 27.0664
156 102 0 25 18.0021 51.1585 14.4702
157 102 0 51 18.4634 55.0283 -3.42799
158 102 0 76 19.2094 60.9306 -19.7006
159 102 0 102 20.3048 68.9418 -35.3659
160 102 0 127 21.6464 77.9228 -49.3189
161 102 0 153 23.3062 88.0786 -62.8324
162 102 0 178 25.1165 98.2568 -75.0125
163 102 0 204 27.1801 109.01 -86.9704
164 102 0 229 29.302 119.358 -97.897
165 102 0 255 31.6195 130.037 -108.763
166 127 0 0 23.5182 57.8167 34.743
167 127 0 25 23.6616 59.0671 22.3981
168 127 0 51 24.0023 61.9726 5.19452
169 127 0 76 24.5603 66.548 -11.0458
170 127 0 102 25.3944 73.0174 -26.9766
171 127 0 127 26.4385 80.5895 -41.3409
172 127 0 153 27.7613 89.5045 -55.3687
173 127 0 178 29.2395 98.7533 -68.0782
174 127 0 204 30.9645 108.799 -80.588
175 127 0 229 32.777 118.675 -92.0256
176 127 0 255 34.7954 129.03 -103.39
177 153 0 0 29.2466 66.1975 41.7112
178 153 0 25 29.3561 67.1546 29.9724
179 153 0 51 29.6174 69.4038 13.6741
180 153 0 76 30.0483 73.015 -2.33604
181 153 0 102 30.6996 78.2582 -18.3418
182 153 0 127 31.5261 84.585 -32.9476
183 153 0 153 32.5901 92.2713 -47.3335
184 153 0 178 33.7997 100.485 -60.4487
185 153 0 204 35.2364 109.643 -73.4133
186 153 0 229 36.7723 118.848 -85.2976
187 153 0 255 38.511 128.677 -97.1198
188 178 0 0 34.588 74.0121 47.4557
189 178 0 25 34.6756 74.7793 36.7176
190 178 0 51 34.8852 76.594 21.3808
191 178 0 76 35.2325 79.5411 5.72356
192 178 0 102 35.7607 83.8915 -10.2192
193 178 0 127 36.4365 89.2469 -24.9291
194 178 0 153 37.3155 95.8977 -39.5305
195 178 0 178 38.3261 103.164 -52.9212
196 178 0 204 39.5411 111.439 -66.2177
197 178 0 229 40.8564 119.918 -78.4467
